Required_Order,Book_Line_Ref,Chapter,Headword,Latin_Entry,Part_of_Speech,Definitions_Whitakers,Dictionary_Form,Occurrences_in_Aeneid
64,"I.88","I.51-75","subitus","a, um","adj","sudden; rash, unexpected","subitus, subita, subitum",27
65,"I.90","I.51-75","polus","ī, m.","noun","pole (e.g., north pole), end of an axis; heaven, sky, celestial vault","polus, poli",10
66,"I.90","I.51-75","micō","micuī, 1, n.","verb","vibrate, quiver, twinkle; tremble, throb; beat (pulse); dart, flash, glitter","mico, micare, micui",11
67,"I.90","I.51-75","aethēr","eris, m. (acc. aethera and aetherem)","noun","upper air; ether; heaven, sky; sky (as a god); space surrounding a deity","aether, aetheris",52
68,"I.92","I.51-75","extemplō","extemplō","adv","immediately, forthwith","extemplo",14
69,"I.92","I.51-75","membrum","ī, n.","noun","member, limb, organ; (esp.) male genital member; apartment, room; section","membrum, membri",31
70,"I.93","I.51-75","gemō","uī, itus, 3, n. and a.","verb","moan, groan; lament (over); grieve that; give out a hollow sound (music, hit)","gemo, gemere, gemui, gemitum",13
71,"I.93","I.51-75","duplex","icis","adj","twofold, double; divided; two-faced","duplic, duplexis",10
72,"I.94","I.51-75","sīdus","eris, n.","noun","star; constellation; tempest (Vulgate 4 Ezra 15:39)","sidus, sideris",57
73,"I.93","I.51-75","palma","ae, f.","noun","palm/width of the hand; hand; palm tree/branch; date; palm award/first place","palma, palmae",28
74,"I.94","I.51-75","ter","ter","adv","three times; on three occasions","ter",38
75,"I.101","I.51-75","galea","ae, f.","noun","helmet","galea, galeae",32
76,"I.102","I.76-100","strīdeō","2, n., and strīdō, strīdī, 3","verb","creak, squeak, grate, shriek, whistle; (make shrill sound); hiss; gnash","strideo, stridere, stridi",21
77,"I.103","I.76-100","feriō","4, a.","verb","hit, strike; strike a bargain; kill, slay","ferio, feriere",20
78,"I.104","I.76-100","prōra","ae, f.","noun","prow","prora, prorae",15
79,"I.104","I.76-100","unda","ae, f.","noun","wave","unda, undae",109
80,"I.106","I.76-100","pendeō","pependī, 2, n.","verb","hang, hang down; depend; [~ ab ore => hang upon the lips, listen attentively]","pendeo, pendere, pependi",28
82,"I.108","I.76-100","torqueō","torsī, tortus, 2, a.","verb","turn, twist; hurl; torture; torment; bend, distort; spin, whirl; wind (round)","torqueo, torquere, torsi, tortum",43
83,"I.112","I.76-100","cingō","cīnxi, cīnctus, 3, a.","verb","surround/encircle/ring; enclose; beleaguer; accompany; gird, equip; ring (tree)","cingo, cingere, cinxi, cinctum",35
84,"I.113","I.76-100","fīdus","a, um","adj","faithful, loyal; trusting, confident","fidus, fida, fidum",23
85,"I.114","I.76-100","vertex","icis, m.","noun","whirlpool, eddy, vortex; crown of the head; peak, top, summit; the pole","vertex, verticis",40
86,"I.115","I.76-100","prōnus","a, um","adj","leaning forward; prone","pronus, prona, pronum",10
87,"I.118","I.76-100","appāreō","uī, itus, 2, n.","verb","appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT)","appareo, apparere, apparui, apparitum",17
88,"I.119","I.76-100","nō","nāvī, nātus, 1, n.","verb","swim, float","no, nare, navi",4
89,"I.118","I.76-100","gurges","itis, m.","noun","whirlpool; raging abyss; gulf, the sea; "flood", "stream"","gurges, gurgitis",20
90,"I.123","I.76-100","imber","imbris, m.","noun","rain, shower, storm; shower of liquid/snow/hail/missiles; water (in general)","imber, imbris",13
91,"I.126","I.76-100","stāgnum","ī, n.","noun","alloy of sliver and lead; tin (late)","stagnum, stagni",9
92,"I.129","I.76-100","ruīna","ae, f.","noun","fall; catastrophe; collapse, destruction","ruina, ruinae",16
93,"I.130","I.76-100","dolus","ī, m.","noun","trick, device, deceit, treachery, trickery, cunning, fraud","dolus, doli",26
94,"I.131","I.76-100","for","fātus sum, 1, dep. a. and n.","verb","speak, talk; say","for, fari, fatus sum",1
95,"I.142","I.76-100","citus","a, um","adj","quick, swift, rapid; moving/acting/passing/occurring quickly, speedy; early","citus, citi, citissi",11
96,"I.143","I.76-100","nītor","nīsus or nīxus sum, 3, dep. n.","verb","press/lean upon; struggle; advance; depend on (with abl.); strive, labor","nitor, niti, nisus sum",10
97,"I.147","I.76-100","rota","ae, f.","noun","wheel (rotate)","rota, rotae",14
98,"I.147","I.76-100","lēvis","e","verb","lift/raise/hold up; support; erect, set up; lift off, remove (load); comfort","levo, levare, levavi, levatum",10
98,"I.147","I.76-100","levis","e","verb","lift/raise/hold up; support; erect, set up; lift off, remove (load); comfort","levo, levare, levavi, levatum",26
99,"I.149","I.76-100","saeviō","iī, ītus, 4, n.","verb","rage; rave, bluster; be/act angry/violent/ferocious; vent rage on (DAT)","saevio, saeviere, saevivi, saevitum",15
100,"I.150","I.76-100","volō","voluī, velle, irreg. and def. a.","verb","wish, want, prefer; be willing, will","volo, volle, volui",46
100,"I.150","I.76-100","volō","āvī, ātus, 1, n.","verb","wish, want, prefer; be willing, will","volo, volle, volui",54
101,"I.152","I.101-125","sileō","uī, 2, n. and a.","verb","be silent, not to speak (about); be quiet; not to function","sileo, silere, silui",10
102,"I.153","I.101-125","arrigō","rēxī, rēctus, 3, a.","verb","set upright, tilt upwards, stand on end, raise; become sexually excited/aroused","arrigo, arrigere, arrexi, arrectum",21
104,"I.155","I.101-125","pelagus","ī, n.","noun","sea; the open sea, the main; (-us neuter, only sing.)","pelagum, pelagi",44
105,"I.155","I.101-125","genitor","ōris, m.","noun","father; creator; originator","genitor, genitoris",57
106,"I.161","I.101-125","sinus","ūs, m.","noun","bowl for serving wine, etc","sinus, sini",19
107,"I.161","I.101-125","scindō","scidī, scissus, 3, a.","verb","tear, rend, cut to pieces; tear (clothes/hair) in rage/grief/despair","scindo, scindere, scicidi, scisum",13
108,"I.162","I.101-125","rūpēs","is, f.","noun","cliff; rock","rupes, rupis",18
109,"I.162","I.101-125","geminus","a, um","noun","twins (pl.)","geminus, gemini",41
110,"I.164","I.101-125","coruscus","a, um","noun","lightening; (2 Ezra 6:2)","coruscus, coruscus",9
111,"I.165","I.101-125","horreō","2, n. and a.","verb","dread, shrink from, shudder at; stand on end, bristle; have rough appearance","horreo, horrere, horrui",12
112,"I.165","I.101-125","nemus","oris, n.","noun","wood, forest","nemus, nemoris",37
113,"I.162","I.101-125","immineō","2, n.","verb","threaten, be a threat (to); overhang, be imminent; with DAT","immineo, imminere",6
114,"I.165","I.101-125","umbra","ae, f.","noun","shade; ghost; shadow","umbra, umbrae",69
115,"I.167","I.101-125","intus","intus","adv","within, on the inside, inside; at home","intus",14
116,"I.169","I.101-125","uncus","a, um","noun","hook, barb, clamp; hook in neck used to drag condemned/executed criminals","uncus, unci",8
117,"I.169","I.101-125","morsus","ūs, m.","noun","bite, sting; anguish, pain; jaws; teeth","morsus, morsus",8
118,"I.173","I.101-125","artus","ūs, m.","noun","arm/leg/limb, joint, part of the body; frame (pl.), body; sexual members/organs","artus, artus",23
118,"I.173","I.101-125","artus","a, um","noun","arm/leg/limb, joint, part of the body; frame (pl.), body; sexual members/organs","artus, artus",2
119,"I.175","I.101-125","folium","iī, n.","noun","leaf","folium, folii",12
120,"I.179","I.101-125","torreō","uī, tostus, 2, a. and n.","verb","parch, roast, scorch, bake, burn; dry up; begin to burn; harden by charring","torreo, torrere, torrui, tostum",3
121,"I.184","I.101-125","cervus","ī, m.","noun","stag/deer; forked branches; chevaux-de-frise (spiked barricade against cavalry)","cervus, cervi",7
122,"I.185","I.101-125","armentum","ī, n.","noun","herd (of cattle); a head of cattle, individual bull/horse; cattle/horses (pl.)","armenta, armentae",11
123,"I.186","I.101-125","pāscō","pāvī, pāstus, 3, a. and n.","verb","feed, feed on; graze","pasco, pascere, pavi, pastum",10
124,"I.187","I.101-125","arcus","ūs, m.","noun","bow, arc, coil, arch; rainbow; anything arched or curved","arcus, arcus",23
125,"I.190","I.101-125","sternō","strāvī, strātus, 3, a.","verb","spread, strew, scatter; lay out","sterno, sternere, stravi, stratum",47
126,"I.191","I.126-150","frōns","frondis, f.","noun","foliage, leaves, leafy branch, green bough, frond","frons, frondis",18
126,"I.191","I.126-150","frōns","frontis, f.","noun","foliage, leaves, leafy branch, green bough, frond","frons, frondis",16
127,"I.191","I.126-150","turba","ae, f.","noun","commotion, uproar, turmoil, tumult, disturbance; crowd, mob, multitude","turba, turbae",21
128,"I.192","I.126-150","ingēns","entis","adj","not natural, immoderate; huge, vast, enormous; mighty; remarkable, momentous","ingensus, ingenti, ingentissi",168
129,"I.193","I.126-150","humus","ī, f.","noun","ground, soil, earth, land, country","humus, humi",22
130,"I.195","I.126-150","hērōs","ōis, m.","noun","hero; demigod","heros, herois",23
131,"I.198","I.126-150","ignārus","a, um","adj","ignorant; unaware, having no experience of; senseless; strange","ignarus, ignara, ignarum",28
132,"I.200","I.126-150","rabiēs","em, ē, f.","noun","madness","rabies, rabiei",7
